"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"06081","0","10","70","0","2003","A","","San Mateo County, California","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",22721,327080,19498831980,2415827877,70309502,1146,59615,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",-282,-1.2,-18057,-5.2,-260076982,-1.3,-149402299,-5.8,14117930,25.1,45,4.1,2365,4.1
"06081","1","10","71","0","2003","A","","San Mateo County, California","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",56,3922,223215904,0,0,1094,56913,"",0.39,0.55,0.37,0.00,0.00,0.66,0.66,"",2,3.7,-18,-0.5,3154940,1.4,0,0.0,0,0.0,20,1.9,1054,1.9
"06081","1","102","72","0","2003","A","","San Mateo County, California","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",56,3922,223215904,0,0,1094,56913,"",0.39,0.57,0.38,0.00,0.00,0.67,0.67,"",2,3.7,-18,-0.5,3154940,1.4,0,0.0,0,0.0,20,1.9,1054,1.9
"06081","1","1021","73","0","2003","A","","San Mateo County, California","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",25,2686,141612249,0,0,1014,52716,"",0.46,1.17,0.84,0.00,0.00,0.72,0.72,"",0,0.0,36,1.4,2499946,1.8,0,0.0,0,0.0,4,0.4,221,0.4
"06081","1","1026","73","0","2003","A","","San Mateo County, California","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",1,9,130997,0,0,272,14162,"",0.30,0.06,0.02,0.00,0.00,0.30,0.30,"N",1,100.0,0,0,0,0,0,0,0,0,0,0,0,0
"06081","1","1027","73","0","2003","A","","San Mateo County, California","Federal Government","Other services","County, by Supersector -- by ownership sector","All establishment sizes",1,41,1380466,0,0,653,33946,"",4.77,3.63,2.42,0.00,0.00,0.67,0.67,"",0,0.0,0,0.0,-246717,-15.2,0,0.0,0,0.0,-110,-14.4,-5741,-14.5
"06081","1","1028","73","0","2003","A","","San Mateo County, California","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",29,1186,80092192,0,0,1299,67541,"",0.39,0.33,0.23,0.00,0.00,0.72,0.72,"",1,3.6,-63,-5.0,770714,1.0,0,0.0,0,0.0,77,6.3,4012,6.3
"06081","1","48-49","74","0","2003","A","","San Mateo County, California","Federal Government","Transportation and warehousing","County, NAICS Sector -- by ownership sector","All establishment sizes",25,2686,141612249,0,0,1014,52716,"",0.47,1.26,0.89,0.00,0.00,0.71,0.70,"",0,0.0,36,1.4,2499946,1.8,0,0.0,0,0.0,4,0.4,221,0.4
"06081","1","491","75","0","2003","A","","San Mateo County, California","Federal Government","Postal service","County, NAICS 3-digit -- by ownership sector","All establishment sizes",25,2686,141612249,0,0,1014,52716,"",0.48,1.30,0.95,0.00,0.00,0.73,0.73,"",0,0.0,36,1.4,2499946,1.8,0,0.0,0,0.0,4,0.4,221,0.4
"06081","1","4911","76","0","2003","A","","San Mateo County, California","Federal Government","Postal service","County, NAICS 4-digit -- by ownership sector","All establishment sizes",25,2686,141612249,0,0,1014,52716,"",0.48,1.30,0.95,0.00,0.00,0.73,0.73,"",0,0.0,36,1.4,2499946,1.8,0,0.0,0,0.0,4,0.4,221,0.4
"06081","1","49111","77","0","2003","A","","San Mateo County, California","Federal Government","Postal service","County, NAICS 5-digit -- by ownership sector","All establishment sizes",25,2686,141612249,0,0,1014,52716,"",0.48,1.30,0.95,0.00,0.00,0.73,0.73,"",0,0.0,36,1.4,2499946,1.8,0,0.0,0,0.0,4,0.4,221,0.4
"06081","1","491110","78","0","2003","A","","San Mateo County, California","Federal Government","Postal service","County, NAICS 6-digit -- by ownership sector","All establishment sizes",25,2686,141612249,0,0,1014,52716,"",0.48,1.30,0.95,0.00,0.00,0.73,0.73,"",0,0.0,36,1.4,2499946,1.8,0,0.0,0,0.0,4,0.4,221,0.4
"06081","1","71","74","0","2003","A","","San Mateo County, California","Federal Government","Arts, entertainment, and recreation","County, NAICS Sector -- by ownership sector","All establishment sizes",0,0,29506,0,0,2270,118024,"",0.00,0.00,0.01,0.00,0.00,2.15,2.15,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"06081","1","712","75","0","2003","A","","San Mateo County, California","Federal Government","Museums, historical sites, zoos, and parks","County, NAICS 3-digit -- by ownership sector","All establishment sizes",0,0,29506,0,0,2270,118024,"",0.00,0.00,0.01,0.00,0.00,1.74,1.74,"N",0,0,0,0,0,0,0,0,0,0,0,0,0,0
