"area_fips","own_code","industry_code","agglvl_code","size_code","year","qtr","disclosure_code","area_title","own_title","industry_title","agglvl_title","size_title","annual_avg_estabs_count","annual_avg_emplvl","total_annual_wages","taxable_annual_wages","annual_contributions","annual_avg_wkly_wage","avg_annual_pay","lq_disclosure_code","lq_annual_avg_estabs_count","lq_annual_avg_emplvl","lq_total_annual_wages","lq_taxable_annual_wages","lq_annual_contributions","lq_annual_avg_wkly_wage","lq_avg_annual_pay","oty_disclosure_code","oty_annual_avg_estabs_count_chg","oty_annual_avg_estabs_count_pct_chg","oty_annual_avg_emplvl_chg","oty_annual_avg_emplvl_pct_chg","oty_total_annual_wages_chg","oty_total_annual_wages_pct_chg","oty_taxable_annual_wages_chg","oty_taxable_annual_wages_pct_chg","oty_annual_contributions_chg","oty_annual_contributions_pct_chg","oty_annual_avg_wkly_wage_chg","oty_annual_avg_wkly_wage_pct_chg","oty_avg_annual_pay_chg","oty_avg_annual_pay_pct_chg"
"06075","0","10","70","0","2008","A","","San Francisco County, California","Total Covered","Total, all industries","County, Total Covered","All establishment sizes",50270,573011,43269507745,4185116252,174062933,1452,75513,"",1.00,1.00,1.00,1.00,1.00,1.00,1.00,"",5901,13.3,16610,3.0,1469717790,3.5,16053689,0.4,-3280329,-1.8,7,0.5,388,0.5
"06075","1","10","71","0","2008","A","","San Francisco County, California","Federal Government","Total, all industries","County, Total -- by ownership sector","All establishment sizes",125,14814,1148438821,0,0,1491,77527,"",0.35,1.26,0.89,0.00,0.00,0.71,0.71,"",0,0.0,-497,-3.2,-14609166,-1.3,0,0.0,0,0.0,30,2.1,1567,2.1
"06075","1","102","72","0","2008","A","","San Francisco County, California","Federal Government","Service-providing","County, by Domain -- by ownership sector","All establishment sizes",125,14814,1148438821,0,0,1491,77527,"",0.35,1.28,0.91,0.00,0.00,0.71,0.71,"",0,0.0,-497,-3.2,-14609166,-1.3,0,0.0,0,0.0,30,2.1,1567,2.1
"06075","1","1021","73","0","2008","A","","San Francisco County, California","Federal Government","Trade, transportation, and utilities","County, by Supersector -- by ownership sector","All establishment sizes",40,4408,255983327,0,0,1117,58068,"",0.23,1.25,0.84,0.00,0.00,0.67,0.67,"",0,0.0,-525,-10.6,-21583007,-7.8,0,0.0,0,0.0,35,3.2,1801,3.2
"06075","1","1022","73","0","2008","A","","San Francisco County, California","Federal Government","Information","County, by Supersector -- by ownership sector","All establishment sizes",1,7,695607,0,0,1804,93790,"",2.51,0.25,0.21,0.00,0.00,0.82,0.82,"",0,0.0,-2,-22.2,-75513,-9.8,0,0.0,0,0.0,201,12.5,10426,12.5
"06075","1","1023","73","0","2008","A","","San Francisco County, California","Federal Government","Financial activities","County, by Supersector -- by ownership sector","All establishment sizes",3,288,32788319,0,0,2189,113848,"",0.51,5.11,4.23,0.00,0.00,0.83,0.83,"",0,0.0,12,4.3,1444065,4.6,0,0.0,0,0.0,2,0.1,110,0.1
"06075","1","1024","73","0","2008","A","","San Francisco County, California","Federal Government","Professional and business services","County, by Supersector -- by ownership sector","All establishment sizes",3,297,27787819,0,0,1801,93641,"",0.34,1.07,0.79,0.00,0.00,0.74,0.74,"",1,50.0,2,0.7,524926,1.9,0,0.0,0,0.0,26,1.5,1355,1.5
"06075","1","1025","73","0","2008","A","","San Francisco County, California","Federal Government","Education and health services","County, by Supersector -- by ownership sector","All establishment sizes",1,1693,103768867,0,0,1179,61293,"",0.25,1.31,0.78,0.00,0.00,0.59,0.59,"",0,0.0,-11,-0.6,-5411737,-5.0,0,0.0,0,0.0,-53,-4.3,-2790,-4.4
"06075","1","1026","73","0","2008","A","","San Francisco County, California","Federal Government","Leisure and hospitality","County, by Supersector -- by ownership sector","All establishment sizes",3,496,31031491,0,0,1203,62532,"",0.44,2.10,2.15,0.00,0.00,1.03,1.02,"",0,0.0,5,1.0,-750535,-2.4,0,0.0,0,0.0,-43,-3.5,-2252,-3.5
"06075","1","1028","73","0","2008","A","","San Francisco County, California","Federal Government","Public administration","County, by Supersector -- by ownership sector","All establishment sizes",75,7624,696383391,0,0,1757,91344,"",0.49,1.24,0.91,0.00,0.00,0.73,0.73,"",0,0.0,20,0.3,11242635,1.6,0,0.0,0,0.0,24,1.4,1238,1.4
